Time(s);F1(l/h);F2(l/h);T1(degC);T2(degC);T3(degC);T4(degC);Configurazione
849;172;586;15.34;51.13;33.58;44.95;Controcorrente
850;171;597;15.34;51.13;33.48;44.95;Controcorrente
851;170;578;15.34;51.13;33.58;44.95;Controcorrente
852;169;591;15.34;51.13;33.58;44.95;Controcorrente
853;170;587;15.34;51.13;33.58;44.95;Controcorrente
854;170;508;15.34;51.13;33.48;44.95;Controcorrente
855;171;548;15.34;51.13;33.58;44.85;Controcorrente
856;171;514;15.34;51.13;33.48;44.85;Controcorrente
857;170;556;15.34;51.13;33.58;44.95;Controcorrente
858;171;651;15.34;51.13;33.48;44.95;Controcorrente
859;170;547;15.34;51.13;33.48;44.95;Controcorrente
860;171;608;15.34;51.13;33.48;44.95;Controcorrente
861;171;571;15.34;51.13;33.48;44.95;Controcorrente
862;170;618;15.34;51.13;33.48;44.85;Controcorrente
863;169;605;15.34;51.13;33.48;44.95;Controcorrente
864;169;571;15.34;51.13;33.48;44.95;Controcorrente
865;169;530;15.34;51.13;33.48;44.95;Controcorrente
866;169;564;15.34;51.13;33.48;44.95;Controcorrente
867;169;569;15.34;51.13;33.48;44.95;Controcorrente
868;169;621;15.34;51.13;33.48;44.95;Controcorrente
869;170;609;15.34;51.13;33.48;44.95;Controcorrente
870;170;574;15.34;51.13;33.58;44.95;Controcorrente
871;169;519;15.34;51.13;33.48;44.95;Controcorrente
872;171;523;15.34;51.23;33.48;44.95;Controcorrente
873;170;504;15.34;51.13;33.48;44.95;Controcorrente
874;170;586;15.34;51.23;33.48;44.95;Controcorrente
875;170;547;15.45;51.23;33.48;44.95;Controcorrente
876;169;601;15.34;51.23;33.48;44.95;Controcorrente
877;169;592;15.34;51.23;33.48;44.95;Controcorrente
878;169;608;15.34;51.34;33.48;44.95;Controcorrente
879;170;456;15.34;51.23;33.48;44.95;Controcorrente
880;169;481;15.34;51.23;33.48;44.95;Controcorrente
881;170;529;15.34;51.23;33.48;44.95;Controcorrente
882;171;567;15.34;51.23;33.48;44.95;Controcorrente
883;171;639;15.34;51.23;33.48;44.95;Controcorrente
884;170;671;15.34;51.34;33.48;44.95;Controcorrente
885;170;561;15.34;51.23;33.48;44.95;Controcorrente
886;169;556;15.34;51.23;33.48;44.95;Controcorrente
887;169;623;15.34;51.23;33.48;44.95;Controcorrente
888;170;640;15.34;51.23;33.48;44.95;Controcorrente
890;170;561;15.34;51.34;33.48;45.06;Controcorrente
891;170;523;15.34;51.23;33.48;45.06;Controcorrente
892;170;514;15.34;51.23;33.48;45.06;Controcorrente
893;171;525;15.34;51.23;33.58;45.06;Controcorrente
894;170;548;15.34;51.34;33.58;45.06;Controcorrente
895;171;588;15.34;51.23;33.58;45.06;Controcorrente
896;171;634;15.34;51.34;33.58;45.06;Controcorrente
897;169;555;15.34;51.34;33.58;44.95;Controcorrente
898;170;555;15.34;51.34;33.58;45.06;Controcorrente
899;171;465;15.34;51.34;33.58;45.06;Controcorrente
900;170;478;15.34;51.34;33.58;45.06;Controcorrente
902;170;538;15.34;51.34;33.58;45.06;Controcorrente
903;171;557;15.34;51.34;33.58;45.16;Controcorrente
904;171;546;15.34;51.34;33.58;45.06;Controcorrente
905;170;474;15.34;51.34;33.58;45.06;Controcorrente
906;170;580;15.34;51.34;33.58;45.06;Controcorrente
908;169;554;15.34;51.34;33.58;45.06;Controcorrente
909;169;582;15.34;51.34;33.58;45.16;Controcorrente
910;169;623;15.34;51.34;33.58;45.16;Controcorrente
911;169;583;15.34;51.34;33.58;45.16;Controcorrente
912;169;604;15.34;51.34;33.68;45.16;Controcorrente
914;169;633;15.34;51.45;33.68;45.16;Controcorrente
915;169;638;15.34;51.45;33.58;45.16;Controcorrente
916;169;619;15.34;51.45;33.58;45.16;Controcorrente
917;169;565;15.34;51.45;33.58;45.16;Controcorrente
918;170;525;15.34;51.45;33.58;45.16;Controcorrente
919;169;686;15.34;51.45;33.58;45.16;Controcorrente
920;169;600;15.34;51.45;33.58;45.16;Controcorrente
922;169;556;15.34;51.55;33.58;45.16;Controcorrente
923;169;540;15.34;51.45;33.58;45.16;Controcorrente
924;169;478;15.34;51.45;33.58;45.26;Controcorrente
925;170;506;15.34;51.45;33.58;45.26;Controcorrente
926;170;514;15.34;51.45;33.58;45.26;Controcorrente
927;169;582;15.34;51.55;33.68;45.26;Controcorrente
928;170;599;15.34;51.55;33.68;45.26;Controcorrente
929;171;639;15.34;51.55;33.68;45.26;Controcorrente
930;171;610;15.34;51.55;33.68;45.26;Controcorrente
931;171;599;15.34;51.55;33.68;45.26;Controcorrente
932;170;519;15.34;51.55;33.68;45.26;Controcorrente
933;169;607;15.34;51.55;33.68;45.26;Controcorrente
934;170;592;15.34;51.55;33.68;45.26;Controcorrente
935;170;570;15.34;51.55;33.68;45.26;Controcorrente
936;169;599;15.34;51.55;33.68;45.26;Controcorrente
937;169;599;15.34;51.66;33.68;45.26;Controcorrente
939;169;592;15.34;51.55;33.68;45.26;Controcorrente
940;169;638;15.34;51.66;33.68;45.37;Controcorrente
941;171;640;15.34;51.66;33.68;45.26;Controcorrente
942;171;584;15.34;51.66;33.68;45.37;Controcorrente
943;170;543;15.34;51.66;33.68;45.37;Controcorrente
944;169;524;15.34;51.66;33.68;45.26;Controcorrente
945;169;521;15.34;51.66;33.68;45.37;Controcorrente
946;169;566;15.34;51.66;33.68;45.26;Controcorrente
947;170;616;15.34;51.66;33.68;45.37;Controcorrente
948;169;625;15.34;51.66;33.68;45.37;Controcorrente
949;169;693;15.34;51.66;33.68;45.37;Controcorrente
950;169;664;15.34;51.66;33.68;45.37;Controcorrente
951;170;588;15.34;51.66;33.68;45.37;Controcorrente
952;169;559;15.34;51.66;33.68;45.37;Controcorrente
953;169;556;15.34;51.77;33.68;45.37;Controcorrente
954;169;559;15.34;51.66;33.68;45.37;Controcorrente
955;169;623;15.34;51.77;33.68;45.37;Controcorrente
956;169;568;15.34;51.66;33.68;45.37;Controcorrente
957;170;551;15.34;51.77;33.68;45.37;Controcorrente
958;169;608;15.34;51.66;33.68;45.37;Controcorrente
959;169;571;15.34;51.77;33.68;45.37;Controcorrente
961;170;466;15.34;51.66;33.79;45.37;Controcorrente
962;169;499;15.34;51.77;33.79;45.47;Controcorrente
963;171;566;15.34;51.77;33.79;45.37;Controcorrente
964;170;544;15.34;51.77;33.79;45.37;Controcorrente
965;169;604;15.34;51.77;33.79;45.37;Controcorrente
966;169;562;15.34;51.77;33.79;45.37;Controcorrente
967;170;558;15.34;51.77;33.79;45.37;Controcorrente
969;171;596;15.34;51.87;33.79;45.37;Controcorrente
970;171;544;15.34;51.77;33.79;45.37;Controcorrente
971;170;541;15.34;51.87;33.79;45.47;Controcorrente
972;170;502;15.34;51.87;33.89;45.47;Controcorrente
973;171;564;15.34;51.87;33.89;45.47;Altra-operazione
975;169;623;15.34;51.87;33.89;45.47;Altra-operazione
976;170;609;15.34;51.87;33.79;45.47;Altra-operazione
977;171;600;15.34;51.87;33.79;45.47;Altra-operazione
978;169;574;15.34;51.87;33.79;45.47;Altra-operazione
979;169;543;15.34;51.87;33.79;45.47;Altra-operazione
981;170;546;15.34;51.87;33.79;45.37;Altra-operazione
982;170;568;15.34;51.87;33.79;45.47;Altra-operazione
983;171;566;15.34;51.87;33.79;45.47;Altra-operazione
984;221;538;15.34;51.87;33.79;45.47;Altra-operazione
985;294;584;15.34;51.87;33.79;45.57;Altra-operazione
987;214;564;15.24;51.87;33.27;45.57;Altra-operazione
988;203;673;15.34;51.87;32.75;45.68;Altra-operazione
989;197;584;15.34;51.87;32.33;45.68;Altra-operazione
990;194;541;15.34;51.87;31.71;45.68;Altra-operazione
991;195;529;15.34;51.87;31.19;45.68;Altra-operazione
992;193;602;15.34;51.87;30.67;45.78;Altra-operazione
993;164;539;15.34;51.87;30.26;45.78;Altra-operazione
994;144;521;15.34;51.87;29.84;45.88;Altra-operazione
995;132;597;15.34;51.87;29.53;45.88;Altra-operazione
996;131;624;15.34;51.87;29.22;45.88;Altra-operazione
997;152;569;15.34;51.87;29.11;45.99;Altra-operazione
998;161;558;15.34;51.87;28.80;46.09;Altra-operazione
999;166;583;15.34;51.87;28.70;46.09;Altra-operazione
1000;166;562;15.34;51.87;28.59;46.09;Altra-operazione
1001;166;556;15.34;51.77;28.59;46.20;Altra-operazione
1002;167;598;15.34;51.77;28.49;46.20;Altra-operazione
1003;167;629;15.34;51.77;28.70;46.20;Equicorrente
1005;168;627;15.34;51.77;28.90;46.20;Equicorrente
1006;168;641;15.34;51.77;29.01;46.30;Equicorrente
1007;167;585;15.34;51.77;29.22;46.30;Equicorrente
1008;168;545;15.34;51.77;29.42;46.30;Equicorrente
1009;168;566;15.34;51.77;29.63;46.30;Equicorrente
1010;168;484;15.34;51.77;29.94;46.30;Equicorrente
1011;167;543;15.34;51.66;30.15;46.20;Equicorrente
1012;168;503;15.34;51.77;30.36;46.20;Equicorrente
1013;166;508;15.34;51.66;30.67;46.09;Equicorrente
1014;168;519;15.34;51.77;30.88;46.09;Equicorrente
1015;168;526;15.34;51.66;31.09;46.09;Equicorrente
1016;168;577;15.34;51.66;31.29;46.09;Equicorrente
1017;167;684;15.34;51.66;31.61;46.09;Equicorrente
1018;167;641;15.34;51.66;31.71;46.09;Equicorrente
1019;168;618;15.34;51.66;32.02;46.09;Equicorrente
1020;166;581;15.34;51.66;32.23;46.09;Equicorrente
1021;166;638;15.34;51.66;32.33;46.09;Equicorrente
1022;168;598;15.34;51.66;32.54;46.09;Equicorrente
1023;166;611;15.34;51.66;32.64;46.09;Equicorrente
1024;168;513;15.34;51.66;32.85;45.99;Equicorrente
1025;167;564;15.34;51.66;32.96;45.99;Equicorrente
1026;167;541;15.34;51.66;33.16;45.99;Equicorrente
1027;168;599;15.34;51.66;33.27;45.88;Equicorrente
1028;167;531;15.34;51.66;33.37;45.99;Equicorrente
1029;166;474;15.34;51.66;33.48;45.99;Equicorrente
1030;166;535;15.34;51.55;33.48;45.88;Equicorrente
1031;166;512;15.34;51.55;33.58;45.88;Equicorrente
1032;166;459;15.34;51.55;33.68;45.88;Equicorrente
1033;166;553;15.34;51.55;33.79;45.88;Equicorrente
1035;167;476;15.34;51.55;33.79;45.88;Equicorrente
1036;167;511;15.34;51.55;33.89;45.78;Equicorrente
1037;167;509;15.34;51.55;33.89;45.78;Equicorrente
1038;166;549;15.34;51.55;33.89;45.78;Equicorrente
1039;166;549;15.34;51.55;33.89;45.78;Equicorrente
1040;167;536;15.34;51.55;33.89;45.78;Equicorrente
1041;167;528;15.34;51.55;33.89;45.68;Equicorrente
1043;166;578;15.34;51.55;33.89;45.68;Equicorrente
1045;166;498;15.34;51.55;33.99;45.68;Equicorrente
1047;166;597;15.34;51.45;33.99;45.68;Equicorrente
1048;166;559;15.34;51.55;33.89;45.68;Equicorrente
1049;166;647;15.34;51.45;33.89;45.68;Equicorrente
1050;166;658;15.34;51.45;33.89;45.57;Equicorrente
1052;166;566;15.34;51.45;33.89;45.57;Equicorrente
1053;166;558;15.34;51.45;33.89;45.57;Equicorrente
1054;166;604;15.34;51.45;33.89;45.57;Equicorrente
1055;166;556;15.34;51.45;33.89;45.57;Equicorrente
1056;166;586;15.34;51.45;33.79;45.57;Equicorrente
1057;166;638;15.34;51.45;33.79;45.57;Equicorrente
1059;166;562;15.34;51.45;33.79;45.47;Equicorrente
1060;166;566;15.34;51.45;33.79;45.47;Equicorrente
1061;167;565;15.34;51.45;33.79;45.47;Equicorrente
1062;167;542;15.34;51.34;33.79;45.47;Equicorrente
1063;168;528;15.34;51.34;33.79;45.47;Equicorrente
1065;166;664;15.34;51.34;33.79;45.47;Equicorrente
1067;166;619;15.34;51.34;33.68;45.47;Equicorrente
1068;166;591;15.34;51.34;33.68;45.47;Equicorrente
1069;166;596;15.34;51.34;33.68;45.47;Equicorrente
1070;166;597;15.34;51.34;33.68;45.37;Equicorrente
1071;166;598;15.34;51.34;33.68;45.37;Equicorrente
1073;166;568;15.34;51.34;33.58;45.37;Equicorrente
1074;166;597;15.34;51.23;33.58;45.37;Equicorrente
1075;166;563;15.34;51.23;33.58;45.37;Equicorrente
1076;166;608;15.34;51.23;33.58;45.37;Equicorrente
1077;166;632;15.34;51.23;33.58;45.37;Equicorrente
1078;166;589;15.34;51.34;33.58;45.26;Equicorrente
1080;166;524;15.34;51.23;33.58;45.37;Equicorrente
1081;166;613;15.34;51.23;33.58;45.26;Equicorrente
1082;166;653;15.34;51.23;33.48;45.26;Equicorrente
1083;166;680;15.34;51.23;33.48;45.37;Equicorrente
1084;166;666;15.34;51.23;33.48;45.26;Equicorrente
1085;166;614;15.34;51.23;33.48;45.26;Equicorrente
1087;166;553;15.45;51.23;33.48;45.26;Equicorrente
1089;166;508;15.45;51.23;33.48;45.26;Equicorrente
1090;166;531;15.45;51.23;33.48;45.26;Equicorrente
1091;166;572;15.45;51.23;33.48;45.26;Equicorrente
1093;166;630;15.45;51.13;33.48;45.26;Equicorrente
1095;166;657;15.45;51.13;33.37;45.26;Equicorrente
1096;166;651;15.34;51.13;33.37;45.26;Equicorrente
1097;168;610;15.45;51.13;33.37;45.26;Equicorrente
1098;167;615;15.34;51.13;33.37;45.16;Equicorrente
1100;167;595;15.34;51.13;33.37;45.26;Equicorrente
1102;166;615;15.45;51.13;33.27;45.26;Equicorrente
1103;166;582;15.45;51.13;33.27;45.26;Equicorrente
1104;166;566;15.45;51.13;33.27;45.26;Equicorrente
1105;166;616;15.34;51.13;33.27;45.26;Equicorrente
1106;166;639;15.45;51.13;33.27;45.26;Equicorrente
1107;166;599;15.45;51.13;33.27;45.26;Equicorrente
1108;166;618;15.34;51.13;33.27;45.26;Equicorrente
1110;166;594;15.34;51.13;33.27;45.26;Equicorrente
1111;166;599;15.34;51.13;33.27;45.26;Equicorrente
1112;166;560;15.34;51.13;33.27;45.26;Equicorrente
1114;166;624;15.34;51.23;33.27;45.26;Equicorrente
1115;166;635;15.34;51.13;33.16;45.26;Equicorrente
1116;166;659;15.45;51.13;33.27;45.26;Equicorrente
1117;166;624;15.34;51.23;33.16;45.26;Equicorrente
1119;166;593;15.34;51.23;33.16;45.26;Equicorrente
1120;166;625;15.34;51.23;33.16;45.26;Equicorrente
1122;166;579;15.45;51.23;33.16;45.26;Equicorrente
1124;166;568;15.34;51.23;33.16;45.37;Equicorrente
1125;166;552;15.34;51.23;33.16;45.26;Equicorrente
1126;166;535;15.34;51.34;33.27;45.26;Equicorrente
1127;166;535;15.45;51.34;33.27;45.26;Equicorrente
1129;166;541;15.34;51.34;33.16;45.26;Equicorrente
1130;166;550;15.34;51.34;33.16;45.26;Equicorrente
1131;166;569;15.45;51.34;33.16;45.26;Equicorrente
1132;166;588;15.45;51.23;33.16;45.37;Equicorrente
1133;166;616;15.34;51.34;33.16;45.37;Equicorrente
1134;166;610;15.34;51.34;33.16;45.37;Equicorrente
1135;164;657;15.45;51.34;33.16;45.37;Equicorrente
1137;166;558;15.45;51.34;33.16;45.37;Equicorrente
1138;166;538;15.45;51.34;33.16;45.37;Equicorrente
1139;167;542;15.45;51.34;33.16;45.37;Equicorrente
1141;166;601;15.45;51.34;33.16;45.37;Equicorrente
1142;166;625;15.34;51.45;33.16;45.37;Equicorrente
1143;166;630;15.34;51.34;33.16;45.37;Equicorrente
1145;166;647;15.34;51.45;33.16;45.47;Equicorrente
1146;166;659;15.45;51.45;33.16;45.47;Equicorrente
1148;166;613;15.45;51.45;33.16;45.47;Equicorrente
1150;166;588;15.34;51.45;33.16;45.47;Equicorrente
1151;166;575;15.45;51.45;33.16;45.47;Equicorrente
1152;166;530;15.45;51.45;33.16;45.47;Equicorrente
1153;166;489;15.45;51.45;33.16;45.47;Equicorrente
1155;166;493;15.34;51.45;33.16;45.57;Equicorrente
1156;167;504;15.45;51.45;33.16;45.47;Equicorrente
1157;166;478;15.34;51.45;33.16;45.57;Equicorrente
1158;166;599;15.34;51.45;33.16;45.57;Equicorrente
1159;166;649;15.34;51.55;33.16;45.57;Equicorrente
1160;166;574;15.34;51.45;33.16;45.57;Equicorrente
1162;166;619;15.34;51.55;33.16;45.57;Equicorrente
1163;166;584;15.45;51.55;33.16;45.57;Equicorrente
1164;166;598;15.34;51.55;33.16;45.57;Equicorrente
1166;166;510;15.34;51.55;33.16;45.57;Equicorrente
1167;166;507;15.45;51.55;33.27;45.57;Equicorrente
1169;166;552;15.45;51.55;33.27;45.57;Equicorrente
1170;164;559;15.45;51.55;33.16;45.68;Equicorrente
1171;166;591;15.45;51.66;33.27;45.68;Equicorrente
1172;166;584;15.45;51.66;33.27;45.57;Equicorrente
1173;166;643;15.45;51.66;33.27;45.57;Equicorrente
1175;166;669;15.45;51.66;33.27;45.57;Equicorrente
1176;167;644;15.45;51.66;33.27;45.68;Equicorrente
1177;166;675;15.45;51.66;33.27;45.68;Equicorrente
1178;166;588;15.45;51.66;33.27;45.68;Equicorrente
1180;166;541;15.45;51.66;33.27;45.68;Equicorrente
1182;166;609;15.45;51.77;33.27;45.68;Equicorrente
1183;166;576;15.45;51.66;33.27;45.68;Equicorrente
1184;166;532;15.45;51.66;33.27;45.68;Equicorrente
1185;166;525;15.45;51.66;33.27;45.68;Equicorrente
1186;166;576;15.45;51.66;33.27;45.68;Equicorrente
1187;166;549;15.45;51.66;33.27;45.68;Equicorrente
1188;166;453;15.45;51.66;33.27;45.68;Equicorrente
1189;166;469;15.45;51.77;33.27;45.68;Equicorrente
1191;166;584;15.45;51.77;33.27;45.78;Equicorrente
1192;166;535;15.45;51.77;33.37;45.78;Equicorrente
1194;166;532;15.45;51.77;33.37;45.78;Equicorrente
1195;166;539;15.45;51.77;33.27;45.78;Equicorrente
1196;166;528;15.45;51.77;33.37;45.78;Equicorrente
1197;166;555;15.45;51.77;33.37;45.78;Equicorrente
1199;166;586;15.45;51.77;33.37;45.78;Equicorrente
1200;166;546;15.45;51.77;33.37;45.78;Equicorrente
1201;166;546;15.55;51.77;33.37;45.78;Equicorrente
1202;166;592;15.45;51.77;33.37;45.78;Equicorrente
1203;166;564;15.45;51.87;33.37;45.78;Equicorrente
1204;166;513;15.55;51.77;33.37;45.78;Equicorrente
1205;166;466;15.55;51.87;33.37;45.78;Equicorrente
1206;166;548;15.45;51.87;33.37;45.78;Equicorrente
1207;166;694;15.45;51.87;33.37;45.78;Equicorrente
1208;166;603;15.45;51.87;33.37;45.78;Equicorrente
1209;166;619;15.55;51.87;33.37;45.78;Equicorrente
1210;166;581;15.45;51.87;33.37;45.88;Equicorrente
1212;166;555;15.45;51.87;33.48;45.78;Equicorrente
1213;166;556;15.45;51.87;33.37;45.88;Equicorrente
1214;166;591;15.45;51.87;33.37;45.88;Equicorrente
1216;166;572;15.45;51.87;33.37;45.78;Equicorrente
1217;166;555;15.45;51.87;33.37;45.88;Equicorrente
1218;166;598;15.45;51.87;33.37;45.88;Equicorrente
1219;166;525;15.45;51.87;33.37;45.88;Equicorrente
1220;166;499;15.45;51.87;33.37;45.88;Equicorrente
1221;166;499;15.45;51.87;33.37;45.88;Equicorrente
1222;166;471;15.45;51.87;33.37;45.88;Equicorrente
1223;166;449;15.45;51.87;33.37;45.88;Equicorrente
1225;166;513;15.45;51.87;33.37;45.88;Equicorrente
1226;166;564;15.45;51.87;33.48;45.88;Equicorrente
1227;166;520;15.45;51.87;33.37;45.88;Equicorrente
1228;166;492;15.55;51.87;33.48;45.88;Equicorrente
1229;166;493;15.45;51.87;33.48;45.88;Equicorrente
1230;166;527;15.45;51.87;33.48;45.88;Equicorrente
1232;166;666;15.45;51.87;33.48;45.78;Equicorrente
1233;166;560;15.45;51.87;33.48;45.78;Equicorrente
1234;166;586;15.55;51.77;33.48;45.78;Equicorrente
1235;166;638;15.45;51.77;33.48;45.78;Equicorrente
1236;166;633;15.45;51.87;33.48;45.78;Equicorrente
1237;166;584;15.45;51.87;33.48;45.78;Equicorrente
1238;166;545;15.45;51.77;33.48;45.78;Equicorrente
1239;166;501;15.45;51.77;33.48;45.78;Equicorrente
1240;166;484;15.45;51.77;33.48;45.78;Equicorrente
1241;166;489;15.45;51.77;33.48;45.78;Equicorrente
1242;166;521;15.45;51.77;33.48;45.78;Equicorrente
1243;166;546;15.45;51.77;33.48;45.78;Equicorrente
1244;166;548;15.45;51.77;33.48;45.78;Equicorrente
1245;166;624;15.45;51.77;33.48;45.78;Equicorrente
1246;166;641;15.45;51.77;33.48;45.78;Equicorrente
1247;166;666;15.45;51.77;33.48;45.78;Equicorrente
1248;166;558;15.45;51.77;33.48;45.78;Equicorrente
1249;166;463;15.45;51.66;33.48;45.78;Equicorrente
1250;166;546;15.45;51.66;33.48;45.78;Equicorrente
1251;166;581;15.45;51.66;33.48;45.68;Equicorrente
1252;166;563;15.45;51.66;33.48;45.68;Equicorrente
1253;166;596;15.45;51.66;33.37;45.78;Equicorrente
1255;166;516;15.55;51.66;33.48;45.68;Equicorrente
1256;166;519;15.45;51.66;33.48;45.68;Equicorrente
1257;166;507;15.45;51.66;33.37;45.78;Equicorrente
1258;166;518;15.45;51.66;33.48;45.68;Equicorrente
1259;164;502;15.45;51.66;33.48;45.68;Equicorrente
1260;166;592;15.45;51.66;33.48;45.68;Equicorrente
1261;166;527;15.45;51.66;33.48;45.68;Equicorrente
1262;166;572;15.45;51.66;33.48;45.68;Equicorrente
1263;166;592;15.45;51.66;33.48;45.68;Equicorrente
1264;166;587;15.45;51.66;33.37;45.68;Equicorrente
1265;166;694;15.45;51.66;33.48;45.68;Equicorrente
1266;166;663;15.45;51.66;33.48;45.68;Equicorrente
1267;166;589;15.45;51.66;33.48;45.68;Equicorrente
1268;166;633;15.45;51.66;33.48;45.57;Equicorrente
1269;166;593;15.45;51.66;33.48;45.57;Equicorrente
1270;166;607;15.45;51.55;33.48;45.57;Equicorrente
1271;167;583;15.45;51.55;33.48;45.57;Equicorrente
1272;166;587;15.45;51.66;33.48;45.57;Equicorrente
1273;166;563;15.45;51.55;33.48;45.57;Equicorrente
1274;166;632;15.45;51.55;33.48;45.57;Equicorrente
1275;166;650;15.45;51.55;33.48;45.57;Equicorrente
1276;166;568;15.45;51.55;33.48;45.57;Equicorrente
1277;166;616;15.45;51.55;33.48;45.57;Equicorrente
1278;166;514;15.45;51.55;33.48;45.57;Equicorrente
1279;166;544;15.45;51.55;33.37;45.57;Equicorrente
1280;167;527;15.45;51.55;33.48;45.57;Equicorrente
1281;166;431;15.45;51.55;33.37;45.57;Equicorrente
1282;166;518;15.45;51.55;33.48;45.57;Equicorrente
1283;166;569;15.45;51.55;33.48;45.47;Equicorrente
1285;166;538;15.45;51.45;33.48;45.57;Equicorrente
1286;166;563;15.45;51.55;33.48;45.57;Equicorrente
1287;166;698;15.55;51.45;33.48;45.47;Equicorrente
1288;166;614;15.45;51.45;33.48;45.47;Equicorrente
1289;166;592;15.55;51.45;33.37;45.47;Equicorrente
1290;164;586;15.45;51.45;33.37;45.47;Equicorrente
1291;166;496;15.45;51.45;33.37;45.47;Equicorrente
1292;166;501;15.45;51.45;33.37;45.47;Equicorrente
1293;166;577;15.45;51.45;33.37;45.47;Equicorrente
1295;166;555;15.45;51.34;33.37;45.47;Equicorrente
1296;166;559;15.45;51.34;33.37;45.47;Equicorrente
1297;166;607;15.45;51.34;33.48;45.47;Equicorrente
1298;166;558;15.45;51.34;33.37;45.47;Equicorrente
1299;166;544;15.45;51.45;33.37;45.47;Equicorrente
1300;166;529;15.45;51.34;33.48;45.47;Equicorrente
1301;166;594;15.45;51.34;33.48;45.47;Equicorrente
1303;166;559;15.45;51.34;33.37;45.47;Equicorrente
1304;166;469;15.45;51.34;33.37;45.37;Equicorrente
1305;166;541;15.45;51.34;33.37;45.37;Equicorrente
1306;166;563;15.55;51.34;33.37;45.37;Equicorrente
