T(degC);Rho(kg/m3);Cp(kJ/kg*K);Lambda(W/m*K);Ni(m2/s);Beta(1/K);Pr(-)
0.01;999.8;;0.556;0.000001792;-0.00007;13.67
5;1000;4.204;0.567;;0.00016;
10;999.8;4.193;0.578;0.000001304;0.000088;9.47
15;999.2;4.186;0.588;;0.000151;
20;998.3;4.183;0.597;0.000001004;0.000207;7.01
25;997.1;4.181;0.606;;0.000257;
30;995.7;4.179;0.614;0.000000801;0.000303;5.43
35;994.1;4.178;0.622;;0.000345;
40;992.3;4.179;0.629;0.000000658;0.000385;4.34
45;990.2;4.181;0.636;;0.00042;
50;988;4.182;0.642;0.000000553;0.000457;3.56
55;986;4.183;0.648;;0.000486;
60;983;4.185;0.653;0.000000474;0.000523;2.99
65;980;4.188;0.657;;0.000544;
70;978;4.191;0.661;0.000000413;0.000585;2.56
75;975;4.194;0.664;;0.000596;
80;972;4.198;0.667;0.000000365;0.000643;2.23
85;968;4.203;0.669;;0.000644;
90;965;4.208;0.671;0.000000326;0.000665;1.96
95;962;4.213;0.672;;0.000687;